Potential name, 	Number of valence electrons, 	Valence electron configuration, 	ENAMX [eV]
H, 	        1,   	1s1, 	                        250.0
He, 	    2,   	1s2, 	                        477.779
Li_sv, 	    3,   	1s2 2s1, 	                    498.387
Be, 	    2,   	2s1.9999 2p0.001, 	            247.951
B, 	        3,   	2s2 2p1, 	                    318.762
C, 	        4,   	2s2 2p2, 	                    400.0
N, 	        5,   	2s2 2p3, 	                    400.0
O, 	        6,   	2s2 2p4, 	                    400.0
F, 	        7,   	2s2 2p5, 	                    400.0
Ne, 	    8,   	2s2 2p6, 	                    343.403
Na_pv, 	    7,   	2p6 3s1, 	                    259.494
Mg, 	    2,   	3s1.999 3p0.001, 	            200.0
Al, 	    3,   	3s2 3p1, 	                    240.957
Si, 	    4,   	3s2 3p2, 	                    245.704
P, 	        5,   	3s2 3p3, 	                    255.155
S, 	        6,   	3s2 3p4, 	                    258.602
Cl, 	    7,   	3s2 3p5, 	                    262.25
Ar, 	    8,   	3s2 3p6, 	                    266.101
K_sv, 	    9,   	3s2 3p6 4s1, 	                259.279
Ca_sv, 	    10,   	3s2 3p6 4s2, 	                266.727
Sc_sv, 	    11,   	3s2 3p6 3d2 4s1, 	            222.7
Ti_sv, 	    12,   	3s2 3p6 3d3 4s1, 	            274.719
V_sv, 	    13,   	3s2 3p6 3d4 4s1, 	            263.722
Cr_pv, 	    12,   	3p6 3d5 4s1, 	                265.753
Mn_pv, 	    13,   	3p6 3d6 4s1, 	                269.944
Fe, 	    8,   	3d7 4s1, 	                    267.969
Co, 	    9,   	3d8 4s1, 	                    268.056
Ni, 	    10,   	3d9 4s1, 	                    269.618
Cu, 	    11,   	3d10 4s1, 	                    295.521
Zn, 	    12,   	3d10 4s2, 	                    276.847
Ga_d, 	    13,   	3d10 4s2 4p1, 	                282.829
Ge_d, 	    14,   	3d10 4s2 4p2, 	                310.448
As, 	    5,   	4s2 4p3, 	                    208.87
Se, 	    6,   	4s2 4p4, 	                    211.602
Br, 	    7,   	4s2 4p5, 	                    216.224
Kr, 	    8,   	4s2 4p6, 	                    185.392
Rb_sv, 	    9,   	4s2 4p6 4d0.001 5s0.999, 	    220.215
Sr_sv, 	    10,   	4s2 4p6 4d0.001 5s1.999, 	    226.327
Y_sv, 	    11,   	4s2 4p6 4d2 5s1, 	            202.554
Zr_sv, 	    12,   	4s2 4p6 4d3 5s1, 	            230.037
Nb_sv, 	    13,   	4s2 4p6 4d4 5s1, 	            293.304
Mo_sv, 	    14,   	4s2 4p6 4d5 5s1, 	            236.514
Tc_pv, 	    13,   	4p6 4d6 5s1, 	                263.345
Ru_pv, 	    14,   	4p6 4d7 5s1, 	                239.907
Rh_pv, 	    15,   	4p6 4d8 5s1, 	                247.321
Pd, 	    10,   	4d9 5s1, 	                    250.832
Ag, 	    11,   	4d10 5s1, 	                    249.752
Cd, 	    12,   	4d10 5s2, 	                    274.265
In_d, 	    13,   	4d10 5s2 5p1, 	                239.196
Sn_d, 	    14,   	4d10 5s2 5p2, 	                241.107
Sb, 	    5,   	5s2 5p3, 	                    172.301
Te, 	    6,   	5s2 5p4, 	                    175.144
I, 	        7,   	5s2 5p5, 	                    175.712
Xe, 	    8,   	5s2 5p6, 	                    153.021
Cs_sv, 	    9,   	5s2 5p6 6s1, 	                220.727
Ba_sv, 	    10,   	5s2 5p6 5d0.001 6s1.999, 	    186.981
La, 	    11,   	4f0.0001 5s2 5p6 5d0.9999 6s2, 	219.044
Ce, 	    12,   	4f1 5s2 5p6 5d1 6s2, 	        273.088
Hf_pv, 	    10,   	5p6 5d3 6s1, 	                220.431
Ta_pv, 	    11,   	5p6 5d4 6s1, 	                223.759
W_sv, 	    14,   	5s2 5p6 5d5 6s1, 	            223.126
Re, 	    7,   	5d6 6s1, 	                    226.25
Os, 	    8,   	5d7 6s1, 	                    228.023
Ir, 	    9,   	5d8 6s1, 	                    210.837
Pt, 	    10,   	5d9 6s1, 	                    230.228
Au, 	    11,   	5d10 6s1, 	                    229.869
Hg, 	    12,   	5d10 6s2, 	                    233.142
Tl_d, 	    13,   	5d10 6s2 6p1, 	                237.001
Pb_d, 	    14,   	5d10 6s2 6p2, 	                237.817
Bi_d, 	    15,   	5d10 6s2 6p3, 	                242.856
Po_d, 	    16,   	5d10 6s2 6p4, 	                264.606
At, 	    7,   	6s2 6p5, 	                    161.481
Rn, 	    8,   	6s2 6p6, 	                    151.461
Fr_sv, 	    9,   	6s2 6p6 7s1, 	                214.489
Ra_sv, 	    10,   	6s2 6p6 7s2, 	                237.216
Ac, 	    11,   	5f0.0001 6s2 6p6 6d0.9999 7s2, 	170.048
Th, 	    12,   	5f1 6s2 6p6 6d1 7s2, 	        247.389
Pa, 	    13,   	5f1 6s2 6p6 6d2 7s2, 	        252.31
U, 	        14,   	5f2 6s2 6p6 6d2 7s2, 	        252.603
Np, 	    15,   	5f3 6s2 6p6 6d2 7s2, 	        254.349
Pu, 	    16,   	5f4 6s2 6p6 6d2 7s2, 	        254.436
Am, 	    17,   	5f5 6s2 6p6 6d2 7s2, 	        255.953
Cm, 	    18,   	5f6 6s2 6p6 6d2 7s2, 	        258.027
